mnist8x8_100_80_60_40_20_10_eps1,9000.2,19,
ACASXU_run2a_1_2_batch_2000-retrain,1,500,
ACASXU_run2a_1_2_batch_2000-student,1,500,
mnist8x8_100_80_60_40_20_10_eps1,9000.2,17,
ACASXU_run2a_1_2_batch_2000-retrain,1,50,
ACASXU_run2a_1_2_batch_2000-student,1,50,
mnist8x8_100_80_60_40_20_10_eps1,9000.2,15,
ACASXU_run2a_1_2_batch_2000-retrain,1,5,
ACASXU_run2a_1_2_batch_2000-student,1,5,
ACASXU_run2a_1_2_batch_2000-retrain,1,0.5,
ACASXU_run2a_1_2_batch_2000-student,1,0.5,
ACASXU_run2a_1_2_batch_2000-retrain,1,0.05,
ACASXU_run2a_1_2_batch_2000-student,1,0.05,
mnist8x8_100_80_60_40_20_10_eps1,9000.2,13,
ACASXU_run2a_1_2_batch_2000-retrain,1,0.005,
ACASXU_run2a_1_2_batch_2000-student,1,0.005,
